time,throttle,brake,steering,speed,ttc
0,0,0,0,0,0
0.024712,0.160602,0,-2.466063,16.681401,0
0.049753,0.165889,0,-2.519891,16.699239,0
0.07439,0.171165,0,-2.557382,16.697715,0
0.099125,0.176428,0,-2.559902,16.715873,0
0.123827,0.181949,0,-2.533392,16.711499,0
0.148566,0.187366,0,-2.476116,16.748567,0
0.17326,0.19268,0,-2.411634,16.756855,0
0.197958,0.198243,0,-2.345076,16.756711,0
0.222637,0.203902,0,-2.285532,16.772176,0
0.247333,0.20927,0,-2.238855,16.819786,0
0.272001,0.214707,0,-2.195423,16.799102,0
0.296702,0.219978,0,-2.146667,16.800188,0
0.321336,0.225416,0,-2.078428,16.831037,0
0.346004,0.230632,0,-2.028516,16.867245,0
0.370593,0.235807,0,-1.975377,16.869364,0
0.39521,0.239957,0,-1.908369,16.864737,0
0.419784,0.24429,0,-1.831855,16.922189,0
0.445127,0.248049,0,-1.740962,16.930927,0
0.46998,0.251812,0,-1.633161,16.931827,0
0.494696,0.255549,0,-1.535699,16.926814,0
0.519306,0.259202,0,-1.449526,16.98766,0
0.544007,0.262523,0,-1.384496,17.008319,0
0.568593,0.265868,0,-1.305681,16.967318,0
0.59328,0.269072,0,-1.263483,17.040615,0
0.617852,0.272264,0,-1.222914,17.045536,0
0.642536,0.275283,0,-1.160478,17.023558,0
0.667112,0.278499,0,-1.115562,17.076158,0
0.691775,0.281471,0,-1.081082,17.057032,0
0.716323,0.283835,0,-1.060696,17.102216,0
0.740969,0.286913,0,-1.026023,17.124901,0
0.765519,0.289632,0,-1.014801,17.137227,0
0.790148,0.29222,0,-0.956262,17.166821,0
0.814683,0.294969,0,-0.895478,17.156061,0
0.839257,0.297522,0,-0.867022,17.198023,0
0.863787,0.30017,0,-0.812555,17.208767,0
0.888345,0.302512,0,-0.757996,17.195822,0
0.91283,0.305004,0,-0.723885,17.23087,0
0.937372,0.30733,0,-0.687426,17.268157,0
0.961864,0.309141,0,-0.648486,17.258893,0
0.9864,0.311124,0,-0.598625,17.305202,0
1.010867,0.312918,0,-0.57672,17.330085,0
1.035389,0.314323,0,-0.552534,17.331669,0
1.059865,0.315888,0,-0.537319,17.339276,0
1.084404,0.317282,0,-0.530809,17.386112,0
1.108978,0.318619,0,-0.514815,17.402733,0
1.133517,0.3199,0,-0.489315,17.389668,0
1.158112,0.321111,0,-0.448852,17.426578,0
1.182724,0.322139,0,-0.401904,17.451249,0
1.207265,0.323149,0,-0.38511,17.428477,0
